name,pronunciation,meaning,type,length,weight,diet,teeth,food,how_moved,when_it_lived,found_it,taxonomy,foundators,year,species_type,comments,img_url
Caudipteryx,caw-dip-ter-iks,'tail feather',small theropod,1.0m,2kg,omnivorous,"sharp teeth that pointed outwards, at the front of the upper jaw only",,on 2 legs,"Early Cretaceous, 125-122 million years ago",China,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Oviraptorosauria, Caudipterygidae","Ji, Currie, Norell and Ji. ",(1998) ,zoui,"  This bird-like dinosaur lived after Archaeopteryx. It had a fan of feathers at the end of its tail.  Caudipteryx has been found with gizzard stones (small stones swallowed by the dinosaur, perhaps to help digest food) and had small, weak teeth. It probab",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/caudip.jpg
Cedarpelta,see-dar-pel-tuh,'Cedar [Mountain Formation] shield',armoured dinosaur,10.0m,,herbivorous,,,,"Early Cretaceous, 142-127 million years ago",USA,"Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Ankylosauridae","Carpenter, Kirkland, Burge and Bird ",(2001) ,bilbeyhallorum,  A skull and partial skeleton of this dinosaur have been found.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Cedarpelta.jpg
Centrosaurus,Cen-TROH-sore-us,'sharp pointed lizard',ceratopsian,6.0m,1000kg,herbivorous,horny beak,tough plant material,on 4 legs,"Late Cretaceous, 76-74 million years ago",Canada,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Centrosaurinae",apertus ,,apertus,  Centrosaurus had one horn on its snout and spines around the back of its neck frill.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/centro.jpg
Ceratosaurus,Keh-RAT-oh-sore-us,'horned lizard',large theropod,6.0m,970kg,carnivorous,,,,"Late Jurassic, 153-148 million years ago","Portugal,
						
							USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Neoceratosauria",Marsh ,(1884) ,nasicornis,"  Ceratosaurus means 'horned lizard'. The dinosaur was given this name because it had a row of sharp horns on its head and a row of small, bony pieces of armour running along its back. It is not known what this body armour was for, but it could have been f",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/cerato.jpg
Cetiosauriscus,see-tee-oh-SORE-is-kuss,'like whale lizard',sauropod,15.0m,,herbivorous,,,,"Mid Jurassic, 175-160 million years ago","England,
						
							United Kingdom","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea",von Huene ,(1927) ,stewarti,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/cetios.jpg
Cetiosaurus,See-TEE-oh-sore-us,'whale lizard',sauropod,18.0m,,herbivorous,,,,"Mid Jurassic, 170-160 million years ago","England,
						
							United Kingdom","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Cetiosauridae",Phillips ,(1871) ,oxoniensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/cetio.jpg
Chaoyangsaurus,chow-yahng-sore-us,'Chaoyang lizard',ceratopsian,1.1m,,herbivorous,,,,"Late Jurassic, 152-145 million years ago",China,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia","Zhao, Cheng and Xu ",(1999) ,youngi,  Chaoyangsaurus is the earliest known ceratopsian (shield dinosaur).,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Chaoyangsaurus.jpg
Chasmosaurus,KAZ-mo-sore-us,'chasm lizard',ceratopsian,5.0m,2500kg,herbivorous,horny beak,plant material,on 4 legs,"Late Cretaceous, 76-74 million years ago",Canada,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Chasmosaurinae",belli ,,belli,"  Chasmosaurus had a small nose horn, blunt brow horns and a long neck frill with holes.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/chasmo.jpg
Chindesaurus,chin-dee-sore-us,'Chinde lizard',early dinosaur,4.0m,,carnivorous,,,,"Late Triassic, 227-210 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Herrerasauridae",Long and Murry ,(1995) ,bryansmalli,"  Chindesaurus had a long whip-like tail and long legs. No skull has been found, so its reconstruction is guesswork based on similar dinosaurs.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Chindesaurus.jpg
Chinshakiango-saurus,jing-sha-kiang-oh-sore-us,'Chinshakiang lizard',sauropod,11.0m,,herbivorous,,,,"Late Jurassic, 159-142 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda",Yeh ,(1975) ,zhongheensis,  Chinshakiangosaurus is only known from a fragmentary skeleton.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Chinshakiangosaurus.jpg
Chirostenotes,kie-ro-sten-oh-teez,'narrow-handed',small theropod,1.7m,,omnivorous,,,,"Late Jurassic, 79-67 million years ago",Canada,"Dinosauria, Saurischia, Theropoda, Caenagnathidae",Gilmore ,(1924) ,pergracilis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Chirostenotes.jpg
Chubutisaurus,choo-boot-i-sore-us,'Chubut [Province] lizard',sauropod,23.0m,,herbivorous,,,,"Early Cretaceous, 112-99 million years ago",Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria",Corro ,(1974) ,insignis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Chubutisaurus.jpg
Chungkingo-saurus,chung-ching-oh-sore-us,'Chongqing lizard',armoured dinosaur,4.0m,,herbivorous,,,,"Late Jurassic, 159-142 million years ago",China,"Dinosauria, Ornithischia, Thyreophora, Stegosauria, Stegosauridae, Stegosaurinae","Dong, Zhou and Zhang ",(1983) ,jiangbeiensis,  This dinosaur is known from a partial skull and a partial skeleton.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Chungkingosaurus.jpg
Citipati,chit-i-puh-tih,'lord of the funeral pyre',small theropod,2.1m,,omnivorous,,,,"Late Cretaceous, 81-75 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Oviraptorosauria, Caenagnathoidea, Oviraptoridae, Oviraptorinae","Clark, Norell and Barsbold ",(2001) ,osmolskae,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Citipati.jpg
Coelophysis,seel-OH-fie-sis,'hollow form',small theropod,2.0m,27kg,carnivorous,small and sharp,vertebrates,on 2 legs,"Late Triassic, 225-190 million years ago","South Africa,
						
							USA,
						
							Zimbabwe","Dinosauria, Saurischia, Theropoda, Neotheropoda, Coelophysoidea, Coelophysidae",bauri ,,bauri,"  In the Late Triassic Period dinosaurs were not at the top of the food chain. Instead, early large reptiles called phytosaurs and rauisuchids domintated.  Early meat-eating dinosaurs like Coelophysis relied on their speed and agility to catch a variety of",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/coelo.jpg
Coelurus,seel-YEW-rus,'hollow tail',small theropod,1.8m,,carnivorous,,,,"Late Jurassic, 155-145 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria",Marsh ,(1879) ,fragilis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/coelurus.jpg
Coloradisaurus,ko-lo-rahd-i-sore-us,'[Los] Colorados lizard',prosauropod,4.0m,,omnivorous,,,,"Late Triassic, 221-210 million years ago",Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Plateosauria, Plateosauridae",Bonaparte ,(1978) ,brevis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Coloradisaurus.jpg
Compsognathus,Komp-sog-NATH-us,'pretty jaw',small theropod,0.65m,3kg,carnivorous,sharp,vertebrates,on 2 legs,"Late Jurassic, 145-140 million years ago","France,
						
							Germany","Dinosauria, Saurischia, Theropoda, Compsognathidae",Wagner ,(1859) ,longipes,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Compsognathus.jpg
Conchoraptor,kon-koh-rap-tor,'conch thief',small theropod,1.5m,,carnivorous,,,,"Late Cretaceous, 81-76 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Oviraptorosauria, Caenagnathoidea, Oviraptoridae, Ingeniinae",Barsbold ,(1986) ,gracilis,  Remains of this dinosaur have been found with feathers preserved. Sexual differences can be seen in the plumage.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Conchoraptor.jpg
Confuciusornis,kon-few-shus-or-niss,'Confucius bird',small theropod,0.25m,,carnivorous,,,,"Early Cretaceous, 127-121 million years ago",China,"Dinosauria, Saurischia, Theropoda, Paraves, Eumaniraptoria, Avialae, Ornithurae, Avibrevicauda, Pygostylia, Confuciusornithidae","Hou, Zhou, Gu and Zhang ",(1995) ,sanctus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Confuciusornis.jpg
Corythosaurus,koh-rith-OH-sore-us,'Corinthian helmet lizard',large ornithopod,10.0m,,herbivorous,,,,"Late Cretaceous, 76-74 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Lambeosaurinae",Brown ,(1914) ,casuarius,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/coryth.jpg
Cryolophosaurus,cry-o-loaf-oh-sore-us,'frozen crested lizard',large theropod,8.0m,500kg,carnivorous,many sharp and pointed teeth,other animals,on 2 legs,"Early Jurassic, 170 million years ago",Antarctica,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Carnosauria",Hammer and Hickerson ,(1994) ,elliotti,  Cryolophosaurus is one of the earliest meat-eating dinosaurs found so far. It lived in what is now Antarctica and had a small curved crest on the top of its head.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/cryolopho.jpg
Dacentrurus,dah-sen-troo-russ,'pointed tail',armoured dinosaur,6.0m,,herbivorous,,,,"Late Jurassic, 154-150 million years ago","England,
						
							France,
						
							Portugal,
						
							United Kingdom","Dinosauria, Ornithischia, Thyreophora, Stegosauria, Stegosauridae",Lucas ,(1902) ,armatus,  Dacentrurus was the first stegosaur ever discovered.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/dacentr.jpg
Daspletosaurus,dass-PLEE-toe-SORE-us,'frightful lizard',large theropod,9.0m,,carnivorous,,,,"Late Cretaceous, 76-74 million years ago",Canada,"Dinosauria, Saurischia, Theropoda, Tyrannosauroidea, Tyrannosauridae, Tyrannosaurinae",Russell ,(1970) ,torosus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/daspelet.jpg
Datousaurus,dah-too-SORE-us,'Datou lizard',sauropod,15.0m,,herbivorous,,,,"Mid Jurassic, 170 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda",Dong and Tang ,(1984) ,bashanensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/datou.jpg
Deinocheirus,DINE-oh-KIRE-us,'terrible hand',large theropod,10.0m,,omnivorous,,,,"Late Cretaceous, 70-66 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Ornithomimosauria",OsmÃÂ³lska and Roniewicz ,(1970) ,mirificus,"  Originally, scientists only had a pair of arm bones with big, long claws to learn about Deinocheirus. But in 2014, new material revealed that it had a unique, large hump on its back, supported by its back bones. Now we know that it was a truly bizarre-lo",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/deinoc.jpg
Deinonychus,dye-NON-ick-us,'terrible claw',small theropod,3.4m,100kg,carnivorous,backward-curving,"plant-eating dinosaurs and other vertebrates, such as mammals",on 2 legs,"Early Cretaceous, 115-108 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Dromaeosauridae",Ostrom ,(1969) ,antirrhopus,"  Deinonychus was a small meat-eating dinosaur. It lived in what is now North America during the Early Cretaceous Period.  This dinosaur had a large, sickle-shaped talon on the second toe of each foot. When not in use the claw was held off the ground to ke",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/deinonychus.jpg
Deltadromeus,del-tah-drohm-ee-us,'delta runner',large theropod,8.1m,,carnivorous,,,,"Late Cretaceous, 99-94 million years ago",Morocco,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria","Sereno, Duthiel, Iarochene, Larsson, Lyon, Magwene, Sidor, Varricchio and Wilson ",(1996) ,agilis,  Deltadromeus is known from a single partial skeleton.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Deltadromeus.jpg
Dicraeosaurus,die-KRAY-oh-SORE-us,'forked lizard',sauropod,20.0m,,herbivorous,,,,"Late Jurassic, 150-135 million years ago",Tanzania,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Dicraeosauridae",Janensch ,(1914) ,hansemanni,  This dinosaur is named 'forked lizard' because of the forked spines in its backbone.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Dicraeosaurus.jpg
Dilophosaurus,die-LOAF-oh-sore-us,'two-ridged lizard',large theropod,6.0m,300kg,carnivorous,lots of sharp and curved teeth,other animals,on 2 legs,"Early Jurassic, 190 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Dilophosauridae",wetherilli ,,wetherilli,"  Dilophosaurus was a fast-moving meat-eating dinosaur.  A kink in its upper jaw may mean that it ate a certain kind of food, or attacked by gripping and holding on to prey - modern crocodiles have a similar kink.  The pair of thin bony crests on its head ",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/dilopho.jpg
Diplodocus,DIP-low DOCK-us,'double beam',sauropod,26.0m,15000kg,herbivorous,rows of teeth like a comb,leaves from trees and soft plants,on 4 legs,"Late Jurassic, 152-145 million years ago",USA,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Diplodocidae",Marsh ,(1878) ,longus,"  Diplodocus had a long neck that it would have used to reach high and low vegetation, and to drink water. There has been some debate over how such a long neck would have been held.  Scientists now think that ligaments running from the hip to the back of t",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/diplodocus.jpg
Dracorex,dray-ko-rex,'Dragon king',pachycephalosaur,4.0m,,herbivorous,,,,"Late Cretaceous, 66 million years ago",USA,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Pachycephalosauria, Pachycephalosauridae","Bakker, Sullivan, Porter, Larson and Saulsbury ",(2006) ,hogwartsia,  Dracorex is a pachycephalosaur from the end of the Cretaceous Period which was identified after the discovery of a spectacular skull. The skull lacks the dome characteristic of this group and instead has spikes and frills reminiscent of a mythical dragon,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Dracorex.jpg
Dreadnoughtus,dred-NAW-tus,'fears nothing',sauropod,26.0m,,herbivorous,,,on four legs,"Late Cretaceous, 76-70 million years ago",Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria",Lacovara and colleagues ,(2014) ,schrani,"  Dreadnoughtus was a giant sauropod, a member of the group called titanosaurs. It lived in South America during the Cretaceous Period.  Many titanosaurs are known from only a few bones, but scientists have found around half of the skeleton of Dreadnoughtu",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/dreadnoughtus-c.jpg
Dromaeosaurus,DROM-ee-oh-saw-russ,'running lizard',small theropod,1.8m,15kg,carnivorous,"small, razor-sharp, backward-curving teeth",vertebrates,on 2 legs,"Late Cretaceous, 76-74 million years ago","Canada,
						
							USA","Dinosauria, Saurischia, Theropoda, Dromaeosauridae",Matthew and Brown ,(1922) ,albertensis,  The back foot of this dinosaur had a large claw for kicking.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/droma.jpg
Dromiceiomimus,dro-MI-see-oh-me-muss,'emu mimic',large theropod,3.5m,100kg,omnivorous,horny beak,"plants, possibly insects and animals too",on 2 legs,"Late Cretaceous, 74-70 million years ago",Canada,"Dinosauria, Saurischia, Theropoda, Ornithomimosauria, Ornithomimidae",Parks ,(1926) ,brevitertius,"  Dromiceiomimus looked very like a modern ostrich, but without the thick layer of feathers (it may have had some feathers).  Dromiceiomimus is now a nomen dubium (dubious name), because the fossils are no longer thought to represent a distinct dinosaur ty",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/dromic.jpg
Dryosaurus,dry-oh-SORE-us,'oak lizard',small ornithopod,4.0m,,herbivorous,,,,"Late Jurassic, 155-140 million years ago","Tanzania,
						
							USA","Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Dryosauridae",Marsh ,(1894) ,altus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/dryo.jpg
Dryptosaurus,drip-toe-SORE-us,'tearing lizard',large theropod,6.4m,,carnivorous,,,,"Late Cretaceous, 84-66 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Tyrannosauroidea",Cope ,(1866) ,aquilunguis, Laelaps This dinosaur was originally named Laelaps by Edward Drinker Cope. His rival Othniel Charles Marsh realised that this name was already being used for a mite and renamed the dinosaur Dryptosaurus in 1877.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/drypto.jpg
Dubreuillosaurus,dub-rhe-oo-oh-sore-us,'(unknown)',large theropod,,,carnivorous,,,,"Late Jurassic, 169-164 million years ago",France,"Dinosauria, Saurischia, Theropoda, Megalosauridae, Eustreptospondylinae",Allain ,(2005) ,valesdunensis,"  Partial skull and partial skeletons of Dubreuillosaurus have been found, but not enough to work out its overall size, although we know it was a large dinosaur.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Dubreuillosaurus.jpg
Edmontonia,ed-mon-TONE-ee-ah,'of Edmonton',armoured dinosaur,4.0m,,herbivorous,,,,"Late Cretaceous, 76-74 million years ago",Canada,"Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Nodosauridae",Sternberg ,(1928) ,longiceps,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Edmontonia.jpg
Edmontosaurus,ed-MON-toe-sore-us,'Edmonton lizard',large ornithopod,13.0m,3400kg,herbivorous,"horny beak and 1,000 grinding cheek teeth","tough pine needles, cones and twigs",on 2 or 4 legs,"Late Cretaceous, 76-66 million years ago",Canada,"Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Euhadrosauria, Hadrosaurinae",Lambe ,(1917) ,regalis,"  Hard conifer needles, twigs and seeeds have been found in Edmontosaurus stomachs. Mummified specimens have some preserved skin, so we know its texture (but not the colour).",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/edmonto.jpg
Einiosaurus,ie-nee-oh-sore-us,'bison lizard',ceratopsian,6.0m,,herbivorous,,,,"Late Cretaceous, 74 million years ago",USA,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Centrosaurinae",Sampson ,(1995) ,procurvicornis,  Einiosaurus had a large downward-curving nasal horn.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Einiosaurus.jpg
Elaphrosaurus,el-a-fro-sore-us,'fleet lizard',large theropod,6.2m,,carnivorous,,,,"Late Jurassic, 154-151 million years ago",Tanzania,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Neoceratosauria",Janensch ,(1920) ,bambergi,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Elaphrosaurus.jpg
Emausaurus,em-ow-sore-us,'EMAU (Ernst-Moritz-Arndt-UniversitÃÂ¤t) lizard',armoured dinosaur,2.0m,,herbivorous,,,,"Mid Jurassic, 190-180 million years ago",Germany,"Dinosauria, Ornithischia, Thyreophora",Haubold ,(1991) ,ernsti,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Emausaurus.jpg
Eolambia,ee-oh-lam-bee-ah,'dawn lambeosaurine',large ornithopod,,,herbivorous,,,,"Late Cretaceous, 99-94 million years ago",USA,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Kirkland ,(1998) ,caroljonesa,"  Eolambia is known from the skulls and postcrania of several individuals, both juveniles and adults.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Eolambia.jpg
Eoraptor,EE-oh-RAP-tor,'early plunderer',small theropod,1.7m,10kg,carnivorous,"small, razor-sharp, backward-curving teeth",vertebrates,on 2 legs,"Late Triassic, 228 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda","Sereno, Forster, Rogers and Monetta ",(1993) ,lunensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/eor.jpg
Eotyrannus,ee-oh-ti-ran-us,'dawn tyrant',large theropod,5.0m,,carnivorous,,,,"Early Cretaceous, 127-121 million years ago","England,
						
							United Kingdom","Dinosauria, Saurischia, Theropoda, Tyrannosauroidea","Hutt, Naish, Martill, Barker and Newberry ",(2001) ,lengi,  Eotyrannus is known from a partial skull and partial skeleton.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Eotyrannus.jpg
Equijubus,ee-kwee-joo-bus,'(unknown)',large ornithopod,,,herbivorous,,,,"Early Cretaceous, 127-99 million years ago",China,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea","You, Luo, Shubin, Witmer, Tang and Tang ",(2003) ,normani,"  Known from skull and postcrania, Equijubus is thought to be the earliest duck-billed dinosaur (hadrosaur).",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Equijubus.jpg
Erketu,er-kee-tu,'Erketu = Tengri (a Mongolian creator-god)',sauropod,15.0m,,herbivorous,,,,Early Cretaceous,Mongolia,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria",Ksepka and Norell ,(2006) ,ellisoni,"  Erketu is known from articulated cervical vertebrae (backbone), a sternal plate (breastbone) and an articulated lower leg.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Erketu.jpg
Erlikosaurus,er-lik-oh-sore-us,'Erlik's lizard',small theropod,3.4m,,omnivorous,,,,"Late Cretaceous, 99-89 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Therizinosauroidea, Therizinosauridae",Perle vide Barsbold and Perle ,(1980) ,andrewsi,  Erlikosaurus is known from a skull and partial skeleton.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Erlikosaurus.jpg
Euhelopus,yoo-hel-oh-pus,'1 marsh foot',sauropod,10.0m,,herbivorous,,,,"Late Jurassic, 154-142 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda",Wiman ,(1929) ,zdanskyi,  Euhelopus is known from a skull and partial postcranial skeletons.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Euhelopus.jpg
Euoplocephalus,you-OH-plo-kef-ah-luss,'well-armoured head',armoured dinosaur,7.0m,2000kg,herbivorous,horny beak and chewing teeth,plant material,on 4 legs,"Late Cretaceous, 76-70 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Ankylosauridae",tutus ,,tutus,"  Euoplocephalus had bony spikes and armour plating on its back, and a bony tail club used for defence.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/euoplo.jpg
Europasaurus,yoo-roh-pah-sore-us,'Europe lizard',sauropod,6.2m,,herbivorous,,,,"Late Jurassic, 154-151 million years ago",Germany,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria","Sander, Mateus, Laven and KnÃÂ¶tschke ",(2006) ,holgeri,"  Although Europasaurus was a dwarf sauropod, it still grew to around 6m long.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Europasaurus.jpg
Eustrepto-spondylus,ewe-strep-toe-SPON-die-luss,'well-curved vertebra',large theropod,7.0m,,carnivorous,,,,"Mid Jurassic, 165 million years ago","England,
						
							United Kingdom","Dinosauria, Saurischia, Theropoda, Megalosauridae, Eustreptospondylinae",Walker ,(1964) ,oxoniensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Eustreptospondylus.jpg
Fukuiraptor,foo-koo-ee-rap-tor,'Fukui plunderer',large theropod,4.2m,,carnivorous,,,,"Early Cretaceous, 121-99 million years ago",Japan,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Carnosauria",Azuma and Currie ,(2000) ,kitadaniensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Fukuiraptor.jpg
